1021,103,Animals,What is the scientific name of tiger?,Panthera leo,Elephas maximus,Panthera tigris,Bison bison,3,"The tiger is the largest cat species,reaching a total body length of up to 3.38 m over curves and exceptionally weighing up to 388.7 kg in the wild",
1022,103,Animals,What is the genus of zebra?,Sus,Equus,Loxodonta,Oryctolagus,2,"Equus is a genus of mammals in the family Equidae,which includes horses,asses,and zebras. Within Equidae,Equus is the only recognized extant genus,comprising seven living species. The term equine refers to any member of this genus,including horses.",
1023,103,Animals,Which of the following catagory is Rabbits?,Carnivores,Omnivores,Herbivores,None of the others,3,"Rabbits are herbivores that feed by grazing on grass,forbs,and leafy weeds. In consequence,their diet contains large amounts of cellulose,which is hard to digest. ",
1024,103,Animals,What is the scientific name of cat?,Felis catus,Canis lupus familiaris,Panthera tigris,Panthera leo,1,"The domestic cat is a small,usually furry,domesticated,and carnivorous mammal. They are often called housecats when kept as indoor pets or simply cats when there is no need to distinguish them from other felids and felines",
1025,103,Animals,Slowest fish in the sea is,Jellyfish,Dwarf seahorse,cyprinids,Starfish,2,"The world's slowest fish is the dwarf seahorse,they hold on to the coral and plant life that line the sea floor with their prehensile tails.",
1026,103,Animals,What is the lifetime of housefly?,10 to 15 days,30 to 45 days,20 to 40 days,15 to 30 days,4,"Houseflies pass through four distinct stages: egg,larva,pupa and adult. The life expectancy of a housefly is generally 15 to 30 days and depends upon temperature and living conditions.",
1027,103,Animals,In D and L forms of lactic acid D is positive or negative rotation?,Porin,Actin,Keratin,Serotransferrin,3,"Hedgehogs are easily recognized by their spines,which are hollow hairs made stiff with keratin",
1028,103,Animals,How much amount of water drunk by a thirsty camel?,130 liters,150 liters,170 liters,190 liters,1,"In fact,a thirsty camel can drink as many as 30 gallons (135 liters) of water in about 13 minutes. Contrary to many an old tale,camels don't store all that water in their humps. The humps actually conserve up to 80 pounds (36 kilograms) of fat-allowing their hosts to survive when food is scarce.",
1029,103,Animals,Which of the following catagory is Hippopotamus,Carnivores,Herbivores,Omnivores,None of the above,2,"The common hippopotamus (Hippopotamus amphibius),or hippo,is a large,mostly herbivorous mammal in sub-Saharan Africa,and one of only two extant species in the family Hippopotamidae,the other being the pygmy hippopotamus (Choeropsis liberiensis or Hexaprotodon liberiensis). ",
1030,103,Animals,What is the length of giraffe tongue?,16 inches,17 inches,20 inches,22 inches,3,Giraffes have the same number of vertebrae in their necks as we do-seven. A giraffe's tongue is 18 to 20 inches (46 to 50 centimeters) long and blue-black. The color may keep the tongue from getting sunburned.,
