1001,101,Mammals,What food makes up nearly all (around 99%) of a Giant Pandas diet?,Bamboo,Fish,Duck,Deer,1,NA,
1002,101,Mammals,Lion is the national animal of which country?,Finland,Denmark,Egypt,Ethiopia ,4,The lion (Panthera leo) is one of the five big cats in the genus Panthera and a member of the family Felidae. The commonly used term African lion collectively denotes the several subspecies found in Africa. ,
1003,101,Mammals,What is the only continent on earth where Giraffes live in the wild?,Asia,Antarctica,America,Africa,4,NA,
1004,101,Mammals,Rabbits are born,Blind,Deaf and dump,Deaf,Dump,1,NA,
1005,101,Mammals,Which country is the origin of kangaroo?,China,America,Australia,Northwest china,3,"A widely held belief has it that the word kangaroo comes from an Australian Aboriginal word meaning ""I don't know."" Any of various large herbivorous marsupials of the family Macropodidae of Australia and adjacent islands, having short forelimbs, large hind limbs used for leaping, and a long tapered tail. Origin of kangaroo.Guugu Yimidhirr (Pama-Nyungan language of northeast Australia) ",
1006,101,Mammals,What is the largest animal in the world?,African bush elephant,Blue whale,Giraffe,Southern Elephant Seal,2,"The Largest Animal Ever: The Blue Whale. The blue whale (Balaenoptera musculus) is a marine mammal belonging to the suborder of baleen whales. At 30 metres (98 ft) in length and 180 metric tons (200 short tons) or more in weight, it is the largest known animal to have ever existed",
1007,101,Mammals,Which country have largest tiger population?,Spain,United States,China,India ,4,One of the world's largest tiger populations is found in the Sundarbans—a large mangrove forest area shared by India and Bangladesh on the northern coast of the Indian Ocean.,
1008,101,Mammals,What type of animal is the largest primate in the world?,The Gorilla,The Elephant,Lion,Tiger,1,"The gorilla is the largest member of the ape family. They may be aggressive when attacked or provoked, but they are naturally gentle. They are omnivorous, like chimpanzees and orangutans",
1009,101,Mammals,What is the another name of female elephant?,Bull,Calf,Cow,Beef,3,"Elephants have little in common with cattle, but they share with them the names for adult male (bull), adult female (cow) and juvenile (calf). Even their collective noun is the same: a herd of elephants.",
1010,101,Mammals,Brown bear is the national symbol of which country?,Nepal,Canada,France,Finland,4,"The brown bear (Ursus arctos) is Finland's national animal. Similarly, Finland has a diverse and extensive range of fauna.",
